author_id,total_publications,n_journal_article,n_conference_paper,n_book_chapter,n_review,n_other_document_type,first_active_year,last_active_year,degree,clustering_coefficient,core_number,author_name
eEtHoOAAAAAJ,58,52,6,0,0,0,2013,2025,15,0.37142857142857144,12,Rahadian Bisma
fkxhjZ4AAAAJ,118,116,2,0,0,0,2000,2026,35,0.24873949579831933,13,Ronggo Alit
hjllQ9gAAAAJ,164,154,10,0,0,0,2000,2026,34,0.3868092691622103,13,Nur Kholis
hn5jrnAAAAAJ,132,102,28,2,0,0,2000,2026,29,0.3793103448275862,13,Yuni Yamasari
hrVTt4kAAAAJ,10,6,4,0,0,0,2020,2025,13,0.48717948717948717,10,Monica Cinthya
i0pkJZoAAAAJ,85,85,0,0,0,0,2000,2025,21,0.3952380952380952,13,Yuni Rosita Dewi
iFSMsegAAAAJ,4,1,3,0,0,0,2024,2025,7,0.6666666666666666,7,Elvira Wardah
itwnm-AAAAAJ,49,46,3,0,0,0,2000,2026,22,0.3333333333333333,13,Achmad Fitro
j8HRV1wAAAAJ,182,168,14,0,0,0,2000,2026,29,0.5320197044334976,13,Bambang Suprianto
jJBtZPgAAAAJ,14,14,0,0,0,0,2019,2025,3,0.6666666666666666,3,Siska Puspitaningsih
jPKU5cAAAAAJ,15,9,6,0,0,0,2016,2025,12,0.3939393939393939,10,Anggraeni Widya Purwita
lFCI_vsAAAAJ,81,69,12,0,0,0,2000,2025,26,0.3230769230769231,13,Atik Wintarti
lmlBHlsAAAAJ,153,137,14,2,0,0,2008,2026,30,0.34942528735632183,13,Widi Aribowo
n7IAKI0AAAAJ,38,36,2,0,0,0,2008,2025,15,0.41904761904761906,12,Joko
n7ykK-IAAAAJ,55,51,4,0,0,0,2000,2026,13,0.6410256410256411,12,Dhiyan Septa Wihara
nVac1BcAAAAJ,6,6,0,0,0,0,2025,2025,7,0.6190476190476191,6,Rosita
nWPONc8AAAAJ,103,84,18,0,1,0,2000,2026,33,0.32575757575757575,13,Lusia Rakhmawati
nbtuM4IAAAAJ,49,41,8,0,0,0,2019,2026,26,0.4153846153846154,13,Parama Diptya Widayaka
ne31is4AAAAJ,1,1,0,0,0,0,2024,2024,0,0.0,0,Danang Ary Dewangga
nyyfjCgAAAAJ,49,37,12,0,0,0,2013,2026,41,0.25853658536585367,13,Rifqi Abdillah
o4zdesUAAAAJ,14,14,0,0,0,0,2020,2025,11,0.23636363636363636,11,Rakha Asyrofi
p1pK7E4AAAAJ,204,191,13,0,0,0,2005,2026,31,0.513978494623656,13,Subuh Isnur Haryudo
p4gdgRgAAAAJ,123,123,0,0,0,0,2000,2026,11,0.3090909090909091,9,Rusijono
pCyzpjgAAAAJ,5,5,0,0,0,0,2018,2025,4,0.5,4,Nurul Laili
pb3-UjwAAAAJ,27,26,1,0,0,0,2013,2025,26,0.24307692307692308,13,Moch Deny Pratama
psg8hdoAAAAJ,44,40,4,0,0,0,2010,2026,18,0.28104575163398693,12,Bonda Sisephaputra
q-sbahIAAAAJ,20,16,3,1,0,0,2019,2025,12,0.3333333333333333,9,Ulfa Siti Nuraini
q24bD6AAAAAJ,64,50,14,0,0,0,2015,2025,9,0.5555555555555556,9,Martini Dwi Endah Susanti
qtFw9UMAAAAJ,134,130,4,0,0,0,1997,2026,24,0.2391304347826087,13,Bambang Sujatmiko
rnlvOfEAAAAJ,1,0,1,0,0,0,2025,2025,2,1.0,2,Ibrohim
sHANI1gAAAAJ,82,81,1,0,0,0,2012,2026,27,0.3561253561253561,13,Rifqi Firmansyah
t5f89iIAAAAJ,15,12,3,0,0,0,2000,2025,16,0.44166666666666665,12,Andi Iwan Nurhidayat
tzjThtIAAAAJ,75,51,24,0,0,0,2009,2026,13,0.4230769230769231,10,Elly Matul Imah
wEGsLv4AAAAJ,16,11,5,0,0,0,2015,2025,5,0.7,5,Ike Fitriyaningsih
wlGfsB0AAAAJ,83,78,5,0,0,0,2012,2026,16,0.21666666666666667,11,Salamun Rohman Nudin
wwhACXoAAAAJ,21,20,0,1,0,0,2021,2026,13,0.3974358974358974,10,M Adamu Islam Mashuri
yObeL8gAAAAJ,183,181,2,0,0,0,2008,2025,33,0.4071969696969697,13,I Gusti Putu Asto Buditjahjanto
yXy6kW0AAAAJ,18,17,1,0,0,0,2015,2026,12,0.4090909090909091,10,Harun Al Rosyid
y_OiarcAAAAJ,22,21,1,0,0,0,2019,2025,3,0.3333333333333333,3,Yandhika Surya Akbar Gumilang
z7RWDi0AAAAJ,242,233,9,0,0,0,2000,2026,38,0.3385490753911807,13,Tri Rijanto
zDgqPOsAAAAJ,243,237,4,1,0,1,2000,2026,20,0.3157894736842105,13,Mustaji
