head,relation,tail
paper::2476,published in,journal::Jurnal Pendidikan Teknik Elektro
author::AYI1rosAAAAJ,writes,paper::2477
paper::2477,has topic,topic::31
paper::2477,published in,journal::Jurnal Pendidikan Teknik Elektro
author::AYI1rosAAAAJ,writes,paper::2478
paper::2478,has topic,topic::34
paper::2478,published in,journal::Jurnal Pendidikan Teknik Elektro
author::AYI1rosAAAAJ,writes,paper::2479
paper::2479,has topic,topic::9
paper::2479,published in,journal::Jurnal Pendidikan Teknik Elektro
author::AYI1rosAAAAJ,writes,paper::2480
paper::2480,has topic,topic::52
paper::2480,published in,journal::Jurnal Pendidikan Teknik Elektro
author::AYI1rosAAAAJ,writes,paper::2481
paper::2481,has topic,topic::31
paper::2481,published in,journal::Jurnal Pendidikan Teknik Elektro
author::AYI1rosAAAAJ,writes,paper::2482
paper::2482,has topic,topic::4
paper::2482,published in,journal::Jurnal Pendidikan Teknik Elektro
author::AYI1rosAAAAJ,writes,paper::2483
author::RNJ3vNQAAAAJ,writes,paper::2483
paper::2483,has topic,topic::44
paper::2483,published in,journal::Jurnal Pendidikan Teknik Elektro
author::AYI1rosAAAAJ,writes,paper::2484
paper::2484,has topic,topic::41
paper::2484,published in,journal::Jurnal Pendidikan Teknik Elektro
author::AYI1rosAAAAJ,writes,paper::2485
paper::2485,has topic,topic::20
paper::2485,published in,journal::Jurnal Fisika dan Aplikasinya
author::AYI1rosAAAAJ,writes,paper::2486
paper::2486,has topic,topic::44
paper::2486,published in,journal::Jurnal Pendidikan Teknik Elektro
author::N40Vh64AAAAJ,writes,paper::2487
author::A9L19RMAAAAJ,writes,paper::2487
paper::2487,has topic,topic::29
paper::2487,published in,journal::Eight International Conference on Vocational Education and Electrical
author::N40Vh64AAAAJ,writes,paper::2488
author::ZjPpHWsAAAAJ,writes,paper::2488
paper::2488,has topic,topic::25
paper::2488,published in,journal::Jurnal Pekommas
author::N40Vh64AAAAJ,writes,paper::2489
author::A9L19RMAAAAJ,writes,paper::2489
paper::2489,has topic,topic::2
paper::2489,published in,journal::Journal of Intelligent System and Telecommunicatio
author::N40Vh64AAAAJ,writes,paper::2490
paper::2490,has topic,topic::54
paper::2490,published in,journal::THE SPIRIT OF SOCIETY JOURNAL: International Journal of Society Development
author::N40Vh64AAAAJ,writes,paper::2491
paper::2491,has topic,topic::9
paper::2491,published in,journal::SINERGI
author::N40Vh64AAAAJ,writes,paper::2492
author::wEGsLv4AAAAJ,writes,paper::2492
paper::2492,has topic,topic::30
paper::2492,published in,journal::E3S Web of Conferences
author::N40Vh64AAAAJ,writes,paper::2493
paper::2493,has topic,topic::3
paper::2493,published in,"journal::ACPES Journal of Physical Education, Sport, and Health (AJPESH)"
author::N40Vh64AAAAJ,writes,paper::2494
paper::2494,has topic,topic::17
paper::2494,published in,journal::JURNAL TEKNIK ELEKTRO
author::N40Vh64AAAAJ,writes,paper::2495
paper::2495,has topic,topic::53
paper::2495,published in,journal::Journal
author::N40Vh64AAAAJ,writes,paper::2496
paper::2496,has topic,topic::27
paper::2496,published in,journal::Jurnal Ilmiah Kursor
author::N40Vh64AAAAJ,writes,paper::2497
paper::2497,has topic,topic::30
paper::2497,published in,journal::INAJEEE (Indonesian Journal of Electrical and Electronics Engineering)
author::N40Vh64AAAAJ,writes,paper::2498
paper::2498,has topic,topic::25
paper::2498,published in,journal::International Conference on Information Technology and Computing
author::N40Vh64AAAAJ,writes,paper::2499
paper::2499,has topic,topic::25
paper::2499,published in,journal::Sixth International Conference on Vocational Education and Electrical
author::N40Vh64AAAAJ,writes,paper::2500
paper::2500,has topic,topic::25
paper::2500,published in,journal::Fifth International Conference on Vocational Education and Electrical
author::N40Vh64AAAAJ,writes,paper::2501
paper::2501,has topic,topic::27
paper::2501,published in,journal::Int. J. Intell. Eng. Syst
author::N40Vh64AAAAJ,writes,paper::2502
paper::2502,has topic,topic::26
paper::2502,published in,journal::International Journal of Intelligent Engineering & Systems
author::N40Vh64AAAAJ,writes,paper::2503
paper::2503,has topic,topic::27
paper::2503,published in,journal::International Journal of Intelligent Engineering and Systems
author::N40Vh64AAAAJ,writes,paper::2504
paper::2504,has topic,topic::27
paper::2504,published in,journal::Institut Teknologi Sepuluh Nopember
author::N40Vh64AAAAJ,writes,paper::2505
paper::2505,has topic,topic::26
paper::2505,published in,"journal::International Conference on Computer Engineering, Network, and"
author::N40Vh64AAAAJ,writes,paper::2506
paper::2506,has topic,topic::27
paper::2506,published in,journal::EMITTER International Journal of Engineering Technology
author::N40Vh64AAAAJ,writes,paper::2507
paper::2507,has topic,topic::27
paper::2507,published in,"journal::International Conference on Computer Engineering, Network, and"
author::N40Vh64AAAAJ,writes,paper::2508
paper::2508,has topic,topic::17
paper::2508,published in,journal::JURNAL TEKNIK ELEKTRO
author::N40Vh64AAAAJ,writes,paper::2509
paper::2509,has topic,topic::27
paper::2509,published in,journal::IOP Conference series: materials science and engineering
author::N40Vh64AAAAJ,writes,paper::2510
paper::2510,has topic,topic::27
paper::2510,published in,journal::International Conference on Intelligent Autonomous Systems (ICoIAS)
author::N40Vh64AAAAJ,writes,paper::2511
paper::2511,has topic,topic::44
paper::2511,published in,journal::Skripsi. Surabaya: Universitas Negeri Surabaya
author::N40Vh64AAAAJ,writes,paper::2512
paper::2512,has topic,topic::39
paper::2512,published in,journal::Jurnal Pendidikan Teknik Elektro
author::N40Vh64AAAAJ,writes,paper::2513
paper::2513,has topic,topic::39
paper::2513,published in,journal::Jurnal Pendidikan Teknik Elektro
author::N40Vh64AAAAJ,writes,paper::2514
paper::2514,has topic,topic::45
paper::2514,published in,journal::Jurnal Pendidikan Teknik Elektro
author::N40Vh64AAAAJ,writes,paper::2515
author::DiBTIz4AAAAJ,writes,paper::2515
paper::2515,has topic,topic::45
paper::2515,published in,journal::Jurnal Pendidikan Teknik Elektro
author::N40Vh64AAAAJ,writes,paper::2516
paper::2516,has topic,topic::45
paper::2516,published in,journal::Jurnal Pendidikan Teknik Elektro
author::N40Vh64AAAAJ,writes,paper::2517
paper::2517,has topic,topic::24
paper::2517,published in,journal::Jurnal Teknik Elektro
author::A9L19RMAAAAJ,writes,paper::2518
paper::2518,has topic,topic::24
paper::2518,published in,journal::Beyond Technology Summit on Informatics International Conference
author::A9L19RMAAAAJ,writes,paper::2519
author::b81qaDkAAAAJ,writes,paper::2519
paper::2519,has topic,topic::23
paper::2519,published in,"journal::International Conference on Electrical, Telecommunication and"
author::A9L19RMAAAAJ,writes,paper::2520
author::MnI3Tm0AAAAJ,writes,paper::2520
author::nbtuM4IAAAAJ,writes,paper::2520
paper::2520,has topic,topic::14
paper::2520,published in,"journal::Best: Journal of Applied Electrical, Science and Technology"
author::A9L19RMAAAAJ,writes,paper::2521
paper::2521,has topic,topic::40
paper::2521,published in,journal::IEEE International Symposium on Consumer Technology (ISCT)
author::A9L19RMAAAAJ,writes,paper::2522
paper::2522,has topic,topic::24
paper::2522,published in,journal::IEEE International Symposium on Consumer Technology (ISCT)
author::A9L19RMAAAAJ,writes,paper::2523
author::BIrtbD8AAAAJ,writes,paper::2523
paper::2523,has topic,topic::16
paper::2523,published in,journal::IEEE International Symposium on Consumer Technology (ISCT)
author::A9L19RMAAAAJ,writes,paper::2524
author::dfwr-2YAAAAJ,writes,paper::2524
paper::2524,has topic,topic::22
paper::2524,published in,journal::Journal of Intelligent System and Telecommunicatio
author::A9L19RMAAAAJ,writes,paper::2525
paper::2525,has topic,topic::3
paper::2525,published in,journal::Journal of Intelligent System and Telecommunicatio
author::A9L19RMAAAAJ,writes,paper::2526
paper::2526,has topic,topic::1
paper::2526,published in,journal::IEICE Technical Report; IEICE Tech. Rep
author::A9L19RMAAAAJ,writes,paper::2527
paper::2527,has topic,topic::1
paper::2527,published in,journal::IEICE Technical Report; IEICE Tech. Rep
author::A9L19RMAAAAJ,writes,paper::2528
paper::2528,has topic,topic::1
paper::2528,published in,journal::IEICE Technical Report; IEICE Tech. Rep
author::A9L19RMAAAAJ,writes,paper::2529
paper::2529,has topic,topic::1
paper::2529,published in,journal::IEICE Technical Report; IEICE Tech. Rep
author::A9L19RMAAAAJ,writes,paper::2530
paper::2530,has topic,topic::1
paper::2530,published in,journal::電子情報通信学会技術研究報告 (Web)
author::A9L19RMAAAAJ,writes,paper::2531
author::RES4QIQAAAAJ,writes,paper::2531
author::6MXDzBQAAAAJ,writes,paper::2531
author::sHANI1gAAAAJ,writes,paper::2531
paper::2531,has topic,topic::23
paper::2531,published in,journal::Borneo International Conference on Applied Mathematics and
author::A9L19RMAAAAJ,writes,paper::2532
author::RES4QIQAAAAJ,writes,paper::2532
author::S6IJ51cAAAAJ,writes,paper::2532
paper::2532,has topic,topic::24
paper::2532,published in,journal::MATEC Web of Conferences
author::A9L19RMAAAAJ,writes,paper::2533
author::RES4QIQAAAAJ,writes,paper::2533
paper::2533,has topic,topic::24
paper::2533,published in,journal::INAJEEE (Indonesian Journal of Electrical and Electronics Engineering)
author::A9L19RMAAAAJ,writes,paper::2534
paper::2534,has topic,topic::53
paper::2534,published in,journal::Jurnal Eeccis
author::A9L19RMAAAAJ,writes,paper::2535
paper::2535,has topic,topic::1
paper::2535,published in,"journal::(No Title), 0"
author::LsydBAMAAAAJ,writes,paper::2536
author::9BWyE0UAAAAJ,writes,paper::2536
paper::2536,has topic,topic::53
paper::2536,published in,journal::Scientica: Jurnal Ilmiah Sains dan Teknologi
author::LsydBAMAAAAJ,writes,paper::2537
paper::2537,has topic,topic::17
paper::2537,published in,journal::INAJEEE (Indonesian Journal of Electrical and Electronics Engineering)
author::LsydBAMAAAAJ,writes,paper::2538
author::hjllQ9gAAAAJ,writes,paper::2538
paper::2538,has topic,topic::34
paper::2538,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2539
author::9BWyE0UAAAAJ,writes,paper::2539
paper::2539,has topic,topic::3
paper::2539,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2540
author::9BWyE0UAAAAJ,writes,paper::2540
author::p1pK7E4AAAAJ,writes,paper::2540
paper::2540,has topic,topic::53
paper::2540,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2541
paper::2541,has topic,topic::23
paper::2541,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2542
author::4VXQFKYAAAAJ,writes,paper::2542
author::hjllQ9gAAAAJ,writes,paper::2542
paper::2542,has topic,topic::32
paper::2542,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2543
paper::2543,has topic,topic::9
paper::2543,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2544
author::hjllQ9gAAAAJ,writes,paper::2544
paper::2544,has topic,topic::4
paper::2544,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2545
author::hjllQ9gAAAAJ,writes,paper::2545
paper::2545,has topic,topic::43
paper::2545,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2546
author::RES4QIQAAAAJ,writes,paper::2546
author::p1pK7E4AAAAJ,writes,paper::2546
paper::2546,has topic,topic::4
paper::2546,published in,journal::JURNAL EDUSCIENCE
author::LsydBAMAAAAJ,writes,paper::2547
paper::2547,has topic,topic::33
paper::2547,published in,journal::PENERBIT KBM INDONESIA
author::LsydBAMAAAAJ,writes,paper::2548
author::9BWyE0UAAAAJ,writes,paper::2548
author::hjllQ9gAAAAJ,writes,paper::2548
paper::2548,has topic,topic::3
paper::2548,published in,journal::TEM Journal
author::LsydBAMAAAAJ,writes,paper::2549
paper::2549,has topic,topic::23
paper::2549,published in,journal::PENERBIT KBM INDONESIA
author::LsydBAMAAAAJ,writes,paper::2550
author::pb3-UjwAAAAJ,writes,paper::2550
paper::2550,has topic,topic::52
paper::2550,published in,journal::PENERBIT KBM INDONESIA
author::LsydBAMAAAAJ,writes,paper::2551
paper::2551,has topic,topic::40
paper::2551,published in,journal::Pendas: Jurnal Ilmiah Pendidikan Dasar
author::LsydBAMAAAAJ,writes,paper::2552
author::Jzuk6doAAAAJ,writes,paper::2552
paper::2552,has topic,topic::6
paper::2552,published in,journal::IEEE International Symposium on Consumer Technology (ISCT)
author::LsydBAMAAAAJ,writes,paper::2553
author::TB0QfMoAAAAJ,writes,paper::2553
author::sHANI1gAAAAJ,writes,paper::2553
paper::2553,has topic,topic::19
paper::2553,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2554
author::pb3-UjwAAAAJ,writes,paper::2554
paper::2554,has topic,topic::55
paper::2554,published in,journal::PENERBIT KBM INDONESIA
author::LsydBAMAAAAJ,writes,paper::2555
author::TB0QfMoAAAAJ,writes,paper::2555
author::9BWyE0UAAAAJ,writes,paper::2555
paper::2555,has topic,topic::24
paper::2555,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2556
author::pb3-UjwAAAAJ,writes,paper::2556
paper::2556,has topic,topic::31
paper::2556,published in,journal::PENERBIT KBM INDONESIA
author::LsydBAMAAAAJ,writes,paper::2557
paper::2557,has topic,topic::45
paper::2557,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2558
author::p1pK7E4AAAAJ,writes,paper::2558
paper::2558,has topic,topic::32
paper::2558,published in,journal::Jurnal Kajian Ilmu Pendidikan (JKIP)
author::LsydBAMAAAAJ,writes,paper::2559
author::b4_EdJYAAAAJ,writes,paper::2559
author::hjllQ9gAAAAJ,writes,paper::2559
paper::2559,has topic,topic::31
paper::2559,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2560
author::9BWyE0UAAAAJ,writes,paper::2560
paper::2560,has topic,topic::4
paper::2560,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2561
paper::2561,has topic,topic::34
paper::2561,published in,journal::Edukasi: Jurnal Pendidikan dan Pengajara
author::LsydBAMAAAAJ,writes,paper::2562
paper::2562,has topic,topic::17
paper::2562,published in,journal::INAJEEE (Indonesian Journal of Electrical and Electronics Engineering)
author::LsydBAMAAAAJ,writes,paper::2563
paper::2563,has topic,topic::19
paper::2563,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2564
author::hjllQ9gAAAAJ,writes,paper::2564
paper::2564,has topic,topic::30
paper::2564,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2565
author::L6O1lvkAAAAJ,writes,paper::2565
author::hjllQ9gAAAAJ,writes,paper::2565
paper::2565,has topic,topic::45
paper::2565,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2566
paper::2566,has topic,topic::44
paper::2566,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2567
paper::2567,has topic,topic::19
paper::2567,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2568
paper::2568,has topic,topic::17
paper::2568,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2569
paper::2569,has topic,topic::45
paper::2569,published in,journal::EXPOSURE Учредители: Publikasi Jurnal Ilmiah Akademik Universitas
author::LsydBAMAAAAJ,writes,paper::2570
author::nbtuM4IAAAAJ,writes,paper::2570
author::Tp_X_bYAAAAJ,writes,paper::2570
paper::2570,has topic,topic::19
paper::2570,published in,journal::Jurnal Bumigora Information Technology (BITe)
author::LsydBAMAAAAJ,writes,paper::2571
author::hjllQ9gAAAAJ,writes,paper::2571
paper::2571,has topic,topic::31
paper::2571,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2572
author::hjllQ9gAAAAJ,writes,paper::2572
author::9BWyE0UAAAAJ,writes,paper::2572
paper::2572,has topic,topic::31
paper::2572,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2573
paper::2573,has topic,topic::31
paper::2573,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2574
paper::2574,has topic,topic::24
paper::2574,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2575
author::pb3-UjwAAAAJ,writes,paper::2575
author::hjllQ9gAAAAJ,writes,paper::2575
paper::2575,has topic,topic::24
paper::2575,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2576
paper::2576,has topic,topic::45
paper::2576,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2577
author::hjllQ9gAAAAJ,writes,paper::2577
paper::2577,has topic,topic::44
paper::2577,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2578
author::hjllQ9gAAAAJ,writes,paper::2578
paper::2578,has topic,topic::11
paper::2578,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2579
author::hjllQ9gAAAAJ,writes,paper::2579
paper::2579,has topic,topic::41
paper::2579,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2580
paper::2580,has topic,topic::17
paper::2580,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2581
paper::2581,has topic,topic::53
paper::2581,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2582
author::hjllQ9gAAAAJ,writes,paper::2582
paper::2582,has topic,topic::4
paper::2582,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2583
paper::2583,has topic,topic::45
paper::2583,published in,journal::Jurnal Elektronika dan Teknik Informatika Terapa
author::LsydBAMAAAAJ,writes,paper::2584
paper::2584,has topic,topic::44
paper::2584,published in,journal::Journal of Vocational and Technical Education (JVTE)
author::LsydBAMAAAAJ,writes,paper::2585
paper::2585,has topic,topic::3
paper::2585,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2586
author::9BWyE0UAAAAJ,writes,paper::2586
author::Tp_X_bYAAAAJ,writes,paper::2586
paper::2586,has topic,topic::19
paper::2586,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2587
paper::2587,has topic,topic::4
paper::2587,published in,journal::Jurnal Penelitian Rumpun Ilmu Teknik
author::LsydBAMAAAAJ,writes,paper::2588
author::9BWyE0UAAAAJ,writes,paper::2588
paper::2588,has topic,topic::3
paper::2588,published in,journal::ACEIVE 2022: Proceedings of the  Annual Conference of Engineering and
author::LsydBAMAAAAJ,writes,paper::2589
paper::2589,has topic,topic::32
paper::2589,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2590
author::L6O1lvkAAAAJ,writes,paper::2590
paper::2590,has topic,topic::4
paper::2590,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2591
author::9BWyE0UAAAAJ,writes,paper::2591
paper::2591,has topic,topic::24
paper::2591,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2592
paper::2592,has topic,topic::41
paper::2592,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2593
author::MZCJPuIAAAAJ,writes,paper::2593
paper::2593,has topic,topic::43
paper::2593,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2594
author::9BWyE0UAAAAJ,writes,paper::2594
paper::2594,has topic,topic::17
paper::2594,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2595
author::9BWyE0UAAAAJ,writes,paper::2595
paper::2595,has topic,topic::19
paper::2595,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2596
author::hjllQ9gAAAAJ,writes,paper::2596
paper::2596,has topic,topic::34
paper::2596,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2597
author::9BWyE0UAAAAJ,writes,paper::2597
paper::2597,has topic,topic::14
paper::2597,published in,journal::JIEET (Journal of Information Engineering and Educational Technology)
author::LsydBAMAAAAJ,writes,paper::2598
author::j8HRV1wAAAAJ,writes,paper::2598
paper::2598,has topic,topic::17
paper::2598,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2599
author::9BWyE0UAAAAJ,writes,paper::2599
author::yObeL8gAAAAJ,writes,paper::2599
paper::2599,has topic,topic::4
paper::2599,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2600
paper::2600,has topic,topic::17
paper::2600,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2601
paper::2601,has topic,topic::31
paper::2601,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2602
author::yObeL8gAAAAJ,writes,paper::2602
paper::2602,has topic,topic::4
paper::2602,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2603
author::b81qaDkAAAAJ,writes,paper::2603
author::yObeL8gAAAAJ,writes,paper::2603
paper::2603,has topic,topic::4
paper::2603,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2604
author::yObeL8gAAAAJ,writes,paper::2604
paper::2604,has topic,topic::19
paper::2604,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2605
author::j8HRV1wAAAAJ,writes,paper::2605
paper::2605,has topic,topic::19
paper::2605,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2606
author::yObeL8gAAAAJ,writes,paper::2606
paper::2606,has topic,topic::19
paper::2606,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2607
paper::2607,has topic,topic::17
paper::2607,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2608
author::hjllQ9gAAAAJ,writes,paper::2608
paper::2608,has topic,topic::23
paper::2608,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2609
paper::2609,has topic,topic::4
paper::2609,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2610
author::9BWyE0UAAAAJ,writes,paper::2610
paper::2610,has topic,topic::17
paper::2610,published in,journal::Indonesian Journal of Engineering and Technology (INAJET)
author::LsydBAMAAAAJ,writes,paper::2611
author::Tp_X_bYAAAAJ,writes,paper::2611
paper::2611,has topic,topic::17
paper::2611,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2612
author::hjllQ9gAAAAJ,writes,paper::2612
paper::2612,has topic,topic::24
paper::2612,published in,journal::Indonesian journal of engineering and technology (inajet)
author::LsydBAMAAAAJ,writes,paper::2613
paper::2613,has topic,topic::41
paper::2613,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2614
paper::2614,has topic,topic::41
paper::2614,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2615
paper::2615,has topic,topic::19
paper::2615,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2616
paper::2616,has topic,topic::44
paper::2616,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2617
author::sHANI1gAAAAJ,writes,paper::2617
paper::2617,has topic,topic::3
paper::2617,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2618
paper::2618,has topic,topic::19
paper::2618,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2619
paper::2619,has topic,topic::45
paper::2619,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2620
paper::2620,has topic,topic::24
paper::2620,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2621
author::ZjPpHWsAAAAJ,writes,paper::2621
author::-BuJoD0AAAAJ,writes,paper::2621
paper::2621,has topic,topic::51
paper::2621,published in,"journal::Proceedings of the  International Conference on Management, Business"
author::LsydBAMAAAAJ,writes,paper::2622
paper::2622,has topic,topic::24
paper::2622,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2623
paper::2623,has topic,topic::3
paper::2623,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2624
author::tzjThtIAAAAJ,writes,paper::2624
paper::2624,has topic,topic::4
paper::2624,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2625
paper::2625,has topic,topic::17
paper::2625,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2626
paper::2626,has topic,topic::17
paper::2626,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2627
paper::2627,has topic,topic::37
paper::2627,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2628
paper::2628,has topic,topic::19
paper::2628,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2629
paper::2629,has topic,topic::23
paper::2629,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2630
paper::2630,has topic,topic::3
paper::2630,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2631
paper::2631,has topic,topic::41
paper::2631,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2632
paper::2632,has topic,topic::20
paper::2632,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2633
paper::2633,has topic,topic::14
paper::2633,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2634
paper::2634,has topic,topic::17
paper::2634,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2635
paper::2635,has topic,topic::17
paper::2635,published in,journal::JURNAL TEKNIK ELEKTRO
author::LsydBAMAAAAJ,writes,paper::2636
paper::2636,has topic,topic::41
paper::2636,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2637
paper::2637,has topic,topic::41
paper::2637,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2638
paper::2638,has topic,topic::4
paper::2638,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2639
paper::2639,has topic,topic::23
paper::2639,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2640
paper::2640,has topic,topic::19
paper::2640,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2641
paper::2641,has topic,topic::19
paper::2641,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2642
paper::2642,has topic,topic::4
paper::2642,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2643
paper::2643,has topic,topic::0
paper::2643,published in,journal::Jurnal Pendidikan Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2644
paper::2644,has topic,topic::17
paper::2644,published in,journal::Jurnal Teknik Elektro
author::LsydBAMAAAAJ,writes,paper::2645
paper::2645,has topic,topic::24
paper::2645,published in,journal::Jurnal Teknik Elektro
