head,relation,tail
author::N6RJilIAAAAJ,writes,paper::98
paper::98,has topic,topic::29
paper::98,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::99
paper::99,has topic,topic::25
paper::99,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::fkxhjZ4AAAAJ,writes,paper::100
author::N6RJilIAAAAJ,writes,paper::100
paper::100,has topic,topic::28
paper::100,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::101
paper::101,has topic,topic::29
paper::101,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::102
paper::102,has topic,topic::28
paper::102,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::103
paper::103,has topic,topic::28
paper::103,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::104
paper::104,has topic,topic::56
paper::104,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::105
paper::105,has topic,topic::35
paper::105,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::106
paper::106,has topic,topic::0
paper::106,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::107
paper::107,has topic,topic::53
paper::107,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::108
paper::108,has topic,topic::28
paper::108,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::109
paper::109,has topic,topic::0
paper::109,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::t5f89iIAAAAJ,writes,paper::110
author::N6RJilIAAAAJ,writes,paper::110
author::8wFXNjYAAAAJ,writes,paper::110
author::hn5jrnAAAAAJ,writes,paper::110
author::CxdwNaYAAAAJ,writes,paper::110
paper::110,has topic,topic::39
paper::110,published in,journal::Abdimas: Papua Journal of Community Service
author::N6RJilIAAAAJ,writes,paper::111
paper::111,has topic,topic::12
paper::111,published in,journal::JOURNAL OF INFORMATICS
author::N6RJilIAAAAJ,writes,paper::112
paper::112,has topic,topic::30
paper::112,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::113
author::8wFXNjYAAAAJ,writes,paper::113
author::hn5jrnAAAAAJ,writes,paper::113
author::CxdwNaYAAAAJ,writes,paper::113
paper::113,has topic,topic::44
paper::113,published in,journal::Jurnal ABDI: Media Pengabdian Kepada Masyarakat
author::N6RJilIAAAAJ,writes,paper::114
paper::114,has topic,topic::12
paper::114,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::115
paper::115,has topic,topic::57
paper::115,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::116
paper::116,has topic,topic::40
paper::116,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::117
author::8wFXNjYAAAAJ,writes,paper::117
author::hn5jrnAAAAAJ,writes,paper::117
paper::117,has topic,topic::28
paper::117,published in,journal::International Journal of Intelligent Engineering & Systems
author::N6RJilIAAAAJ,writes,paper::118
paper::118,has topic,topic::12
paper::118,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::119
paper::119,has topic,topic::25
paper::119,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::120
paper::120,has topic,topic::28
paper::120,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::121
paper::121,has topic,topic::28
paper::121,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::122
paper::122,has topic,topic::34
paper::122,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::123
paper::123,has topic,topic::12
paper::123,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::124
paper::124,has topic,topic::24
paper::124,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::125
paper::125,has topic,topic::28
paper::125,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::126
paper::126,has topic,topic::29
paper::126,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::N6RJilIAAAAJ,writes,paper::127
paper::127,has topic,topic::28
paper::127,published in,journal::Jurnal Ilmiah Teknologi Informasi dan Robotika
author::N6RJilIAAAAJ,writes,paper::128
paper::128,has topic,topic::0
paper::128,published in,journal::Journal of Informatics and Computer Science (JINACS)
author::hn5jrnAAAAAJ,writes,paper::129
author::N6RJilIAAAAJ,writes,paper::129
paper::129,has topic,topic::28
paper::129,published in,"journal::Journal Information Engineering and Educational Technology), 869X"
author::7EQjv9wAAAAJ,writes,paper::130
author::N6RJilIAAAAJ,writes,paper::130
author::t5f89iIAAAAJ,writes,paper::130
author::hn5jrnAAAAAJ,writes,paper::130
paper::130,has topic,topic::28
paper::130,published in,journal::Proceedings of the  International Conference on Soft Computing and
